iter	Passed	Remaining
0	0	232
1	1	222
2	2	220
3	3	227
4	4	224
5	5	220
6	6	218
7	7	216
8	8	214
9	8	213
10	9	211
11	10	210
12	11	208
13	12	207
14	13	205
15	14	206
16	14	205
17	15	205
18	16	205
19	17	204
20	18	203
21	19	203
22	20	202
23	21	202
24	22	201
25	23	200
26	24	199
27	25	198
28	25	197
29	26	197
30	27	196
31	28	195
32	29	194
33	30	194
34	31	193
35	32	192
36	33	191
37	34	190
38	35	189
39	35	188
40	36	187
41	37	187
42	38	187
43	39	186
44	40	185
45	41	184
46	42	183
47	43	182
48	44	182
49	45	181
50	46	180
51	47	180
52	48	179
53	49	179
54	50	178
55	51	177
56	52	177
57	53	176
58	54	175
59	55	175
60	56	174
61	57	173
62	58	172
63	59	171
64	60	171
65	61	170
66	62	169
67	63	169
68	64	168
69	65	167
70	66	166
71	66	165
72	67	164
73	68	163
74	70	163
75	71	162
76	72	161
77	73	161
78	74	160
79	75	159
80	76	158
81	76	157
82	77	156
83	78	155
84	79	154
85	80	153
86	81	152
87	82	151
88	83	151
89	84	150
90	85	149
91	86	148
92	87	147
93	88	146
94	89	145
95	89	144
96	90	143
97	91	142
98	93	142
99	94	141
100	95	141
101	96	139
102	97	138
103	98	137
104	99	137
105	100	135
106	100	134
107	101	133
108	102	132
109	103	131
110	104	130
111	105	129
112	106	128
113	107	128
114	108	127
115	109	126
116	110	125
117	111	124
118	112	123
119	113	122
120	114	121
121	114	120
122	115	119
123	116	118
124	117	117
125	118	116
126	119	115
127	120	114
128	121	113
129	122	112
130	123	112
131	124	111
132	125	110
133	126	109
134	127	108
135	129	108
136	130	107
137	130	106
138	131	105
139	132	104
140	133	103
141	134	102
142	135	101
143	136	100
144	137	99
145	138	98
146	139	97
147	140	96
148	140	95
149	141	94
150	142	93
151	143	92
152	144	91
153	145	90
154	146	89
155	147	88
156	148	87
157	149	86
158	150	85
159	151	84
160	151	84
161	152	83
162	153	82
163	154	81
164	155	80
165	156	79
166	157	78
167	158	77
168	159	76
169	160	75
170	160	74
171	161	73
172	162	72
173	163	71
174	164	70
175	165	69
176	166	68
177	167	67
178	168	66
179	169	65
180	170	64
181	171	63
182	172	63
183	173	62
184	174	61
185	175	60
186	176	59
187	177	58
188	178	57
189	179	56
190	180	55
191	181	54
192	181	53
193	182	52
194	183	51
195	184	50
196	185	49
197	186	48
198	187	48
199	188	47
200	189	46
201	189	45
202	190	44
203	191	43
204	192	42
205	193	41
206	194	40
207	195	39
208	196	38
209	197	37
210	198	36
211	199	35
212	200	34
213	201	33
214	202	32
215	203	31
216	204	31
217	205	30
218	206	29
219	207	28
220	208	27
221	208	26
222	209	25
223	210	24
224	211	23
225	212	22
226	213	21
227	214	20
228	215	19
229	216	18
230	217	17
231	218	16
232	219	16
233	220	15
234	221	14
235	222	13
236	223	12
237	224	11
238	225	10
239	226	9
240	227	8
241	228	7
242	229	6
243	230	5
244	231	4
245	232	3
246	233	2
247	234	1
248	235	0
249	236	0
