Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Recency,Frequency,Monetary,EngagementScore,ComplaintRatio,Churn
4.0,1,3.0,6.0,4,0,3.0,3.0,2,2.0,2,9.0,1.0,11.0,1.0,1.0,5.0,159.93,5.0,1.0,159.93,3.0,0.11111098765445816,1
9.0,2,1.0,8.0,6,1,3.0,4.0,3,3.0,2,7.0,1.0,15.0,0.0,1.0,0.0,120.9,0.0,1.0,120.9,3.4,0.14285693877580175,1
9.0,2,1.0,30.0,4,1,2.0,4.0,3,3.0,2,6.0,1.0,14.0,0.0,1.0,3.0,120.28,3.0,1.0,120.28,2.8,0.16666638888935187,1
0.0,2,3.0,15.0,4,1,2.0,4.0,2,5.0,2,8.0,0.0,23.0,0.0,1.0,3.0,134.07,3.0,1.0,134.07,2.8,0.0,1
0.0,2,1.0,12.0,0,1,3.0,3.0,3,5.0,2,3.0,0.0,11.0,1.0,1.0,3.0,129.6,3.0,1.0,129.6,3.0,0.0,1
0.0,0,1.0,22.0,4,0,3.0,5.0,4,5.0,2,2.0,1.0,22.0,4.0,6.0,7.0,139.19,7.0,6.0,139.19,3.8,0.49999750001249993,1
9.0,2,3.0,11.0,2,1,2.0,3.0,2,2.0,0,4.0,0.0,14.0,0.0,1.0,0.0,120.86000000000001,0.0,1.0,120.86000000000001,2.4000000000000004,0.0,1
9.0,2,1.0,6.0,0,1,3.0,3.0,3,2.0,0,3.0,1.0,16.0,2.0,2.0,0.0,122.93,0.0,2.0,122.93,3.0,0.3333322222259259,1
13.0,2,3.0,9.0,5,1,3.0,4.0,3,3.0,0,2.0,1.0,14.0,0.0,1.0,2.0,126.83000000000001,2.0,1.0,126.83000000000001,3.4,0.49999750001249993,1
9.0,2,1.0,31.0,4,1,2.0,5.0,3,3.0,2,2.0,0.0,12.0,1.0,1.0,1.0,122.93,1.0,1.0,122.93,3.2,0.0,1
4.0,1,1.0,18.0,2,0,2.0,3.0,5,3.0,0,2.0,0.0,15.0,9.0,15.0,8.0,295.45,8.0,15.0,295.45,2.4000000000000004,0.0,1
11.0,1,1.0,6.0,4,1,3.0,4.0,0,3.0,2,10.0,1.0,13.0,0.0,1.0,0.0,153.81,0.0,1.0,153.81,3.4,0.0999999000001,1
0.0,2,1.0,11.0,1,1,2.0,3.0,3,3.0,2,2.0,1.0,13.0,2.0,2.0,2.0,134.41,2.0,2.0,134.41,2.4000000000000004,0.49999750001249993,1
0.0,2,1.0,15.0,0,1,3.0,4.0,3,3.0,0,1.0,1.0,17.0,0.0,1.0,0.0,133.88,0.0,1.0,133.88,3.4,0.9999900000999989,1
9.0,1,3.0,15.0,3,1,3.0,4.0,0,2.0,2,2.0,0.0,16.0,0.0,4.0,7.0,196.19,7.0,4.0,196.19,3.4,0.0,1
9.0,2,2.0,12.0,6,1,3.0,3.0,3,5.0,1,5.0,1.0,22.0,1.0,1.0,2.0,120.72999999999999,2.0,1.0,120.72999999999999,3.0,0.19999960000080003,1
0.0,0,1.0,12.0,4,0,3.0,4.0,3,2.0,2,2.0,1.0,18.0,1.0,1.0,0.0,129.26,0.0,1.0,129.26,3.4,0.49999750001249993,1
0.0,1,3.0,11.0,5,1,2.0,4.0,2,3.0,2,2.0,1.0,11.0,1.0,1.0,3.0,157.44,3.0,1.0,157.44,2.8,0.49999750001249993,1
0.0,0,1.0,13.0,4,1,3.0,5.0,2,3.0,2,2.0,1.0,24.0,1.0,1.0,6.0,160.74,6.0,1.0,160.74,3.8,0.49999750001249993,1
19.0,1,1.0,20.0,4,0,3.0,3.0,4,4.0,0,10.0,1.0,18.0,1.0,4.0,3.0,149.63,3.0,4.0,149.63,3.0,0.0999999000001,1
0.0,1,3.0,12.0,4,1,3.0,5.0,2,3.0,0,5.0,1.0,18.0,6.0,7.0,7.0,161.72,7.0,7.0,161.72,3.8,0.19999960000080003,1
20.0,1,1.0,29.0,3,0,3.0,3.0,0,2.0,0,2.0,0.0,12.0,11.0,15.0,6.0,203.12,6.0,15.0,203.12,3.0,0.0,1
9.0,1,3.0,28.0,5,1,2.0,3.0,4,3.0,2,2.0,1.0,19.0,0.0,1.0,0.0,116.75,0.0,1.0,116.75,2.4000000000000004,0.49999750001249993,1
0.0,2,3.0,26.0,4,0,3.0,5.0,2,3.0,0,4.0,1.0,11.0,1.0,2.0,2.0,145.59,2.0,2.0,145.59,3.8,0.24999937500156252,1
14.0,0,1.0,14.0,4,1,2.0,5.0,0,2.0,2,3.0,0.0,15.0,0.0,1.0,3.0,206.5,3.0,1.0,206.5,3.2,0.0,1
0.0,2,1.0,15.0,3,0,2.0,3.0,4,5.0,2,8.0,0.0,22.0,1.0,1.0,4.0,142.0,4.0,1.0,142.0,2.4000000000000004,0.0,1
8.0,1,3.0,6.0,5,1,3.0,3.0,0,4.0,0,2.0,0.0,13.0,1.0,1.0,6.0,172.95,6.0,1.0,172.95,3.0,0.0,0
9.0,2,3.0,12.0,5,1,2.0,3.0,2,3.0,0,3.0,1.0,20.0,0.0,4.0,5.0,123.06,5.0,4.0,123.06,2.4000000000000004,0.3333322222259259,0
18.0,2,1.0,14.0,4,1,2.0,3.0,2,4.0,1,9.0,0.0,18.0,1.0,1.0,15.0,123.47999999999999,15.0,1.0,123.47999999999999,2.4000000000000004,0.0,0
5.0,0,3.0,14.0,5,0,2.0,3.0,0,2.0,2,2.0,0.0,14.0,2.0,3.0,7.0,189.98,7.0,3.0,189.98,2.4000000000000004,0.0,0
2.0,0,1.0,6.0,1,1,2.0,3.0,2,3.0,0,2.0,0.0,13.0,0.0,1.0,9.0,143.19,9.0,1.0,143.19,2.4000000000000004,0.0,0
0.0,1,1.0,13.0,3,1,2.0,4.0,2,3.0,0,3.0,0.0,17.0,1.0,1.0,0.0,161.32,0.0,1.0,161.32,2.8,0.0,0
30.0,2,1.0,15.0,0,0,3.0,4.0,3,4.0,0,5.0,1.0,20.0,1.0,1.0,0.0,133.46,0.0,1.0,133.46,3.4,0.19999960000080003,0
13.0,1,3.0,10.0,5,1,3.0,4.0,0,2.0,0,8.0,0.0,11.0,2.0,2.0,11.0,208.55,11.0,2.0,208.55,3.4,0.0,0
9.0,0,3.0,8.0,5,0,3.0,3.0,3,3.0,0,7.0,0.0,18.0,1.0,1.0,2.0,122.31,2.0,1.0,122.31,3.0,0.0,0
0.0,2,1.0,14.0,0,1,3.0,3.0,3,2.0,0,2.0,0.0,24.0,0.0,2.0,2.0,123.22999999999999,2.0,2.0,123.22999999999999,3.0,0.0,0
9.0,0,1.0,15.0,0,1,2.0,3.0,3,4.0,1,7.0,0.0,18.0,0.0,2.0,2.0,120.24000000000001,2.0,2.0,120.24000000000001,2.4000000000000004,0.0,0
1.0,2,1.0,27.0,0,1,3.0,3.0,3,2.0,0,2.0,0.0,11.0,0.0,1.0,2.0,127.13,2.0,1.0,127.13,3.0,0.0,0
30.0,1,1.0,30.0,4,1,2.0,2.0,0,2.0,1,4.0,1.0,16.0,1.0,1.0,4.0,194.39,4.0,1.0,194.39,2.0,0.24999937500156252,0
0.0,0,1.0,14.0,0,1,3.0,4.0,3,3.0,1,2.0,1.0,15.0,0.0,1.0,1.0,125.66,1.0,1.0,125.66,3.4,0.49999750001249993,0
23.0,1,1.0,17.0,4,0,2.0,3.0,5,4.0,2,4.0,0.0,15.0,2.0,4.0,4.0,299.26,4.0,4.0,299.26,2.4000000000000004,0.0,0
14.0,2,1.0,14.0,4,1,2.0,3.0,3,3.0,1,5.0,0.0,12.0,1.0,1.0,8.0,124.50999999999999,8.0,1.0,124.50999999999999,2.4000000000000004,0.0,0
3.0,1,3.0,11.0,4,0,2.0,3.0,0,2.0,0,3.0,0.0,12.0,2.0,7.0,4.0,194.19,4.0,7.0,194.19,2.4000000000000004,0.0,0
11.0,1,3.0,6.0,4,0,2.0,4.0,2,2.0,2,5.0,0.0,22.0,1.0,1.0,1.0,186.86,1.0,1.0,186.86,2.8,0.0,0
5.0,2,1.0,12.0,4,1,3.0,3.0,3,3.0,2,4.0,0.0,20.0,0.0,1.0,4.0,130.38,4.0,1.0,130.38,3.0,0.0,0
0.0,2,1.0,23.0,1,1,3.0,3.0,3,4.0,0,1.0,1.0,16.0,1.0,1.0,1.0,130.58,1.0,1.0,130.58,3.0,0.9999900000999989,0
0.0,0,3.0,14.0,1,0,3.0,5.0,3,5.0,2,1.0,0.0,21.0,1.0,1.0,0.0,123.25,0.0,1.0,123.25,3.8,0.0,1
9.0,0,1.0,9.0,0,1,1.0,3.0,3,4.0,2,5.0,0.0,12.0,4.0,7.0,2.0,120.88,2.0,7.0,120.88,1.8000000000000003,0.0,0
3.0,0,1.0,15.0,0,1,3.0,3.0,2,5.0,1,2.0,0.0,11.0,0.0,6.0,10.0,130.72,10.0,6.0,130.72,3.0,0.0,0
18.0,1,3.0,10.0,4,0,1.0,3.0,2,5.0,1,5.0,1.0,11.0,0.0,1.0,3.0,150.06,3.0,1.0,150.06,1.8000000000000003,0.19999960000080003,0
29.0,2,1.0,14.0,4,0,3.0,3.0,4,5.0,1,5.0,1.0,18.0,1.0,2.0,2.0,142.57,2.0,2.0,142.57,3.0,0.19999960000080003,0
6.0,2,1.0,14.0,4,1,2.0,3.0,3,2.0,2,1.0,0.0,14.0,0.0,1.0,2.0,125.0,2.0,1.0,125.0,2.4000000000000004,0.0,0
0.0,1,1.0,8.0,4,1,2.0,4.0,4,2.0,2,2.0,0.0,22.0,0.0,1.0,0.0,111.02000000000001,0.0,1.0,111.02000000000001,2.8,0.0,1
19.0,1,3.0,6.0,5,0,3.0,3.0,0,5.0,1,2.0,0.0,25.0,4.0,15.0,7.0,204.53,7.0,15.0,204.53,3.0,0.0,0
9.0,2,1.0,15.0,4,0,3.0,3.0,3,2.0,2,2.0,0.0,12.0,1.0,2.0,1.0,122.88,1.0,2.0,122.88,3.0,0.0,0
4.0,2,1.0,18.0,3,0,3.0,3.0,4,2.0,0,9.0,1.0,23.0,1.0,1.0,2.0,139.29,2.0,1.0,139.29,3.0,0.11111098765445816,0
